Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
MILITARY AIR SCOUT,tt0223734,,LIM,FILM,"FUTURE GENERAL HAP ARNOLD TOOK HIS BI-PLANE FROM COLLEGE PARK, MARYLAND, TO LONG ISLAND FOR AN AIR SHOW. FILMMAKER ASKED HIM TO FLY PLANE FOR CAMERA AND CREATED STORY. ARNOLD BECAME INTRIGUED WITH FILMMAKING AND SON SAID HE EVEN CONSIDERED LEAVING ARMY FOR A CAREER IN FILM. HOWEVER, CONTACTS WITH MOTION PICTURE INDUSTRY CONTINUED ENABLING HIM TO REGULARLY HAVE STORIES ABOUT ARMY AIR CORPS PRODUCED",1911,"Short, Drama",,William Humphrey,"The story takes place three years into the future. Events represented take place in 1914, when supposedly there is a war between the united European states and the United States of America. The hero is commissioned to fly over the enemy's fleet in a war aeroplane and destroy them. This he does by dropping bombs. He is then told to spy upon their land forces, but his aeroplane is brought to earth by a portable gun of the enemy that shoots directly into midair.",,,12 Dec 1911,nm0401967
MIRACLE LANDING,tt0100154,,APP,TV,"THE AIR FORCE WAS PLEASED TO ASSIST THE PRODUCTION THE DEPARTMENT CONCURRED, FEELING THE FILM WOULD GIVE THE AIR FORCE A POSITIVE IMAGE. AIRED IN 1999 TO 34 MILLION VIEWERS",1990,Drama,85 min,Dick Lowry,"""Miss, what's that?"" the kid asked the stewardess, pointing to a small crack that he noticed in celing above him. At that point, the crack widens and the entire roof of the airplane is ripped off. Based on a true story.",,6.3,11 Feb 1990,nm0523310
MISSION IMPOSSIBLE,tt0060009,,APP,TV,"DOD SUPPORTED THE US OF MARCH AFB, A ONE-SHIP FLY-BY, DISPLAYS, A BUILDING, USE OF A FEW VEHICLES; AND SOME STOCK FILM FOOTAGE. OFFERS A PROFESSIONAL IMAGE FOR THE AF.",1966.0,"Action, Adventure, Crime, Drama, Thriller",50 min,,"Jim Phelps is the head of a super-secret government agency (""Impossible Missions""), and is often given secret anonymous covert missions to attempt; quite often they are unmasking of criminals or the rescuing of hostages. He picks his team depending on which tasks need to be done. One thing is vital on an Impossible Mission: the mission must be carried out in entire secrecy, often relying on high-tech equipment and elaborate deceptions.",Won 3 Golden Globes. Another 16 wins & 39 nominations.,7.9,17 Sep 1966,"nm0046172,nm0186305,nm0469957,nm0441914,nm0394873,nm0554169,nm0822570,nm0610303,nm0739987,nm0801883,nm0738180,nm0325476,nm0900972,nm0020765,nm0562388,nm0159007,nm0468609,nm0070807,nm0458033,nm0641400,nm0353785,nm0200022,nm0869427,nm0065596,nm0340981,nm0364749,nm0548965,nm0202297,nm0001888,nm0591142,nm0678928,nm0784198,nm0282644,nm0724504,nm0125111,nm0271708,nm0321143,nm0450314,nm0337545,nm0730265,nm0909098,nm0072561,nm0336335,nm0568228,nm0723629"
MISSION OF THE SHARK,tt0102455,,DEN,TV,RELATIONS BROKE OFF WHEN PRODUCTION COMPANY REFUSED TO MAKE CHANGES. NO FURTHER RECORDS ARE AVAILABLE.,1991,"Action, Drama, History, War",100 min,Robert Iscove,"True story of the sinking of the U.S.S. Indianapolis, its crew's struggle to survive the sharks and exposure, and the captain's scape-goat court-martial.",,6.3,29 Sep 1991,nm0410769
MISTER ROBERTS,tt0048380,,APP,FILM,"NAVY VERY RELUCTANTLY PROVIDED ASSISTANCE IN FORM OF FREISHTER AND SOME MEN. NOT A GOOD IMAGE MADE OF THE NAVY OR ITS OFFICERS. HOWEVER, JOHN FORD WAS TO DIRECT AND HE HAD A LONG STANDING RELATIONSHIP WITH THE NAVY--""PEARL HARBOR,""{DOC), ""MIDWAY,“ (DOC), “MEN WITHOUT WOMEN,"" 'THEY WERE EXPENDABLE,"" ETC. SD FINALLY AGREED TO PROVIDE A WORLD WAR II MERCHANT SHIP.",1955,"Comedy, Drama, War",123 min,"John Ford, Mervyn LeRoy, Joshua Logan","Mister Roberts is aboard a US cargo ship, working in the Pacific during the Second World War. He'd do anything to leave the quiet of the ship to join in the ""action"". Trouble is, the captain of the ship, is a bit of a tyrant, and isn't willing to sign Roberts' transfer requests. Also on board is Ensign Pulver, who avoids work as best he can, whilst living off the riches of his buying and selling. Roberts and the crew are in constant battle, even over the smallest of disagreements.",Won 1 Oscar. Another 2 wins & 5 nominations.,7.7,30 Jul 1955,"nm0000406,nm0503777,nm0517597"
MOMENT OF TRUTH: TO WALK AGAIN,tt0110553,,LIM,TV,"MARINES PROVIDED TECHNICAL ASSISTANCE TO THIS TRUE STORY ACCOUNT. ALSO ALLOWED BRIEF FILMING OF ""BASIC TRAINING"" SEQUENCE AT CAMP PENDLETON.",1994,Drama,105 min,Randy Zisk,"A marine is paralyzed after being shot during a training exercise, leaving his parents to fight to get him proper medical care.",,6.2,16 Feb 1994,nm0957198
MONK,tt0650625,MR. MONK AND THE ASTRONAUT EPISODE,APP,TV,"APPROVED FILMING FOR TWO NO DAYS AT EDWARDS AIR FORCE BASE, CA. NON-FLYING F-22, VARIOUS EXT AND INT SITES, AND OFF-DUTY AIRMAN AS BACKGROUND EXTRAS.",2006,"Comedy, Crime, Drama, Mystery",44 min,Randy Zisk,"Despite everyone's disbelief that a hero making the news is actually a coldblooded killer, Adrian tries to prove that a celebrity astronaut is responsible, despite an airtight alibi.",,8.2,03 Mar 2006,nm0957198
MOSCOW ON THE HUDSON,tt0087747,,OTH,FILM,THE FILM HAD NO MILITARY SIGNIFICANCE BUT THE DOD HAD NO OBJECTIONS TO OFF DUTY MILITARY PERSONNEL PARTICIPATING AS EXTRAS. STRICTLY VOLUNTARY,1984,"Comedy, Drama, Romance",115 min,Paul Mazursky,"A Russian circus visits the US. A clown wants to defect, but doesn't have the nerve. His saxophone playing friend however comes to the decision to defect in the middle of Bloomingdales. He is befriended by the black security guard and falls in love with the Italian immigrant from behind the perfume counter. We follow his life as he works his way through the American dream and tries to find work as a musician.",Nominated for 1 Golden Globe. Another 1 nomination.,6.5,06 Apr 1984,nm0005196
"MY FATHER, MY SON",tt0095685,,DEN,TV,"THE PRODUCTION DID NOT BENEFIT THE DOD NOR NATIONAL INTEREST. THE MESSAGE OF THE FILM IS INFLAMMATORY. SOME FALSE OR ""LEFT OUT“ INFORMATION.",1988,"Drama, War",100 min,Jeff Bleckner,"When an admiral orders the use of Agent Orange in Vetnam, he has no idea what deadly consequences this will have on his son.",1 win & 1 nomination.,7.1,22 May 1988,nm0088121
MYSTIC NIGHTS & PIRATE FIGHTS,tt0138640,,APP,FILM,PRODUCTION COMPANY REQUESTED PERMISSION TO FILM US. SUBMARINES GETTING UNDERWAY & RETURNING TO PORT (TARGET OF OPPORTUNITY ONLY FOR THIS INNOCUOUS FILM THAT USES A NAVY FAMILY LARGELY AS SETTING). THE COMPANY ALSO ASKED TO FILM AT NAVY SUBMARINE BASE IN CONN.,1998,"Adventure, Mystery",,Doug Lively,"Young Jonah Johnson and his family move into Mystic, CT. The town's local fisherman's son, Schooner, quickly befriends him and the two soon discover what seems to be a 300-year-old treasure map. The treasure of Captain Kidd that was lost in the town 3 decades earlier. While trying to evade the town's bullies, Jonah and Schooner keep their eye on Clive Steelway, a rich treasure-seeker who seems to have conniving plans for the treasure and the boys.",,5.9,,nm0515120
N.A.S. EMERALD POINT,tt0085012,HARPOON,APP,TV,"NAVY AND DOD FELT THE SCRIPT WAS BE ADVANTAGEOUS TO THE SERIES AS WELL AS THE DEPARTMENT ITSELF. HOWEVER, IT TURNED OUT TO BE A SOAP~OPERA TYPE DRAMA OF A NAVY ADMIRAL'S FAMILY SERIES DIED QUICKLY. DONT KNOW IF THIS WAS DUE TO NAVY ENDING ASSOCIATION OR NOT.",1983.0,Drama,60 min,,"The story took place on a naval base and dealt with the Mallory family headed by patriarch, Admiral Thomas Mallory. He had three daughters, Celia, Kay and Leslie. Celia was unhappily married to Jack Warren but loved Simon Adams. Kay was fighting for her lover Glenn Matthews with southern bitch Hillary Adams. Other principal characters included kindly Maggie Farrell who was in love with Thomas and Hillary's evil father Harlan Adams who was sleeping with Thomas' sister-in-law Deanna Kincaid.",,7.2,26 Sep 1983,"nm0065568,nm0253605,nm0784388,nm0666274,nm0004886,nm0575546,nm0037790,nm0801883,nm0786989,nm0505697,nm0488688,nm0370749,nm0369858,nm0684719,nm0266144"
NAKED AND THE DEAD,tt0051978,,APP,FILM,NORMAN MAILER'S NOVEL OF SAME NAME TRANSFERRED TO SCREEN WITH ARMY ASSISTANCE AFTER EXTENSIVE NEGOTIATIONS,1958,"Drama, War",131 min,Raoul Walsh,"In the Pacific during World War 2, the officers live a comfortable life with good food, good drink and good quarters. To them, war is a game which they know they will win and the common soldiers are the pawns on the board. When the campaign slows down, the Commander sends a squad to the top of a mountain behind enemy lines to report on the Japanese troop movements. The squad is commanded by a tough cynical Sergeant who takes no prisoners and even takes the gold from the teeth of the enemy dead. Before the mission starts, the lieutenant, who has had a cushy job due to a life of wealth and privilege, criticizes the Commander over his attitude towards the common soldier and is re-assigned to lead the squad. The veteran Sergeant wants to complete this mission as ordered, and he will do everything he can do to see that it is successful.",1 win.,6.4,28 Oct 1958,nm0909825
NAVY BLUE AND GOLD,tt0029297,,APP,FILM,"ANOTHER PEACETIME ANNAPOLIS FILM, THIS TIME FOCUSING ON THE ARMY/NAVY GAME APPROVED ASSISTANCE, DATE APPROXIMATE.",1937,"Drama, Sport",94 min,Sam Wood,"James Stewart plays ""Truck"" Cross an enlisted soldier who has been accepted into the Unites States Naval Academy at Annapolis, Maryland. Truck meets Roger ""Rog"" Ash (Robert Young)and Richard ""Dickie"" Gates Junior (Tom Brown). Three very different young men become roommates. Truck Cross has a secret he doesn't want let out. Ash is full of himself and needs to learn to be part of a team. Gates seems to just want to belong to something get away from his mother (played by Billie Burke, whom you will instantly remember as Glinda the Good Witch) The boys make it through their Plebe year (Freshman) year, and into the Sophomore year is when the plot really begins to thicken, Truck's secret is found out, and the outcome could mean expulsion, Ash thinks he's not Navy at all and it could lead to expulsion as well, Captain Dawes (played by the incomparable Lionel Barrymore) always seems to be in the right place at the right time to help make things happen for this threesome. Will the three of them make it to the Army versus Navy Game and who will wind up with Gates' sister Pat?",,6.7,19 Nov 1937,nm0939992
NAVY NCIS,tt0658009,MINIMUM SECURITY,APP,TV,"APPROVED FILMING FOR ONE DAY AT NAVAL BASE VENTURA COUNTY, POINT MUGU, CA (THE FORMERLY NAMED NAVAL AIR STATION POINT MUGU), INCLUDING EXTERIOR AND INTERIOR LOCATIONS AND APPROXIMATELY 30 MILITARY PERSONNEL AS EXTRAS.",2003,"Action, Crime, Drama, Mystery, Thriller",44 min,Ian Toynton,A naturalized petty officer of Egyptian descent dies in the US from massive bleeding due to an intestinal blockage caused by emeralds; he had just arrived from Camp Delta at Gitmo. Gibbs and others investigate at Gitmo and prevent a murder.,,7.7,25 Nov 2003,nm0870306
NAVY NCIS,tt0658001,HUNG OUT TO DRY,APP,TV,"APPROVED FILMING FOR TWO DAYS AT NAVAL AIR STATION POINT MUGU, CA, TO INCLUDE VOLUNTEER MILITARY PERSONNEL AS EXTRAS.",2003,"Action, Crime, Drama, Mystery, Thriller",43 min,Alan J. Levi,"During a training jump a Marine dies when his main chute fails to open, and he fails to pull his reserve chute. Kate joins the NCIS team, and they investigate; they identify not only the murderer and his method but also a drug connection.",,7.6,30 Sep 2003,nm0505420
NAVY NCIS,tt0658012,MY OTHER LEFT FOOT ,APP,TV,"APPROVED FILMING FOR ONE DAY ON THE NCIS SET IN VALENCIA, CA, WITH A MARINE CORPS LIGHT ARMORED VEHICLE (LAAV) AND APPROXIMATELY 10 MARINES.",2004,"Action, Crime, Drama, Mystery, Thriller",44 min,Jeff Woolnough,"A dumpster diver finds a severed leg, apparently from a Marine, believed to be attached to a live person not more than 24 hours earlier; however, the Marine in question, according to records, died two years previously. The NCIS solves it.",,7.9,03 Feb 2004,nm0941276
NAVY NCIS,tt0658023,SUB ROSA,APP,TV,"APPROVED FILMING FOR TWO DAYS AT NAVAL BASE PORT HUENEME, CA, INVOLVING VARIOUS INTERIOR AND EXTERIOR LOCATIONS AND APPROXIMATELY 30 VOLUNTEER MILITARY PERSONNEL AS EXTRAS.",2003,"Action, Crime, Drama, Mystery, Thriller",44 min,Michael Zinberg,"Workers find the decomposing body of a man, apparently a submariner, inside a drum of acid. The team treats the case as both a murder and a theft of identity. Gibbs and Kate go aboard a sub at sea, find the bad guy, and save the crew.",,8.1,18 Nov 2003,nm0956910
NAVY SEALS,tt0100232,,LIM,FILM,"THE REQUEST FOR APPROVAL WAS DENIED, BUT DUE TO SOME SUBSTANTIAL POSITIVE CHANGES IN THE SCRIPT, THE NAVY DID PROVIDE SOME COURTESY ASSISTANCE.",1990,"Action, Adventure, Thriller",113 min,Lewis Teague,"While rescuing an American air crew captured by Mid-Eastern terrorists, Lieutenant Curran and his team of Navy SEALs discover evidence that the terrorists have come into possession of dangerous high-tech weapons.",,5.6,20 Jul 1990,nm0853546
NCIS,tt1422351,ALIYAH,APP,TV,"APPROVED FILMING ON APRIL 14TH AT NAVAL BASE VENTURA COUNTY, POINT MUGU, CA. FILMING INVOLVED A STATIC C-130T AIRCRAFT AND CREW MEMBERS OF VR-55. THERE WAS ALSO FILMING AT THE MEDICAL CLINIC ON BASE.",2009,"Action, Crime, Drama, Mystery, Thriller",44 min,Dennis Smith,"Ziva finds Tony and Michael on a floor; Michael dies soon afterward; the next morning her pad explodes. McGee and Abby find answers. Vance, Gibbs, Tony, and Ziva go to Tel Aviv; Ziva remains, and the others return; Ziva runs into trouble.",,8.6,19 May 2009,nm0807932
NCIS,tt0657993,EYE SPY,APP,TV,"APPROVED FILMING FOR TTNO DAYS, DEC 15 AND 16, AT VARIOUS EXTERIOR LOCATIONS AT NAVAL BASE VENTURA COUNTY, CALIFORNIA (NAVAL AIR STATION POINT MUGU AND NAVAL BASE PORT HUENEME).",2004,"Action, Crime, Drama, Mystery, Thriller",44 min,Alan J. Levi,"A Naval officer, a SEAL diver, dies of a stab wound after swimming while testing a classified handheld sonar device, which disappears. An anonymous caller reports the murder. Gibbs and the gang find both the killer and the missing device.",,7.6,13 Jan 2004,nm0505420
NCIS,tt0657985,CALL OF SILENCE,APP,TV,APPROVED FILMING A BURIAL DETAIL AT A CIVILIAN CEMETERY FOR ONE DAY WITH APPROXIMATELY 10 MARINES.,2004,"Action, Crime, Drama, Mystery, Thriller",44 min,Thomas J. Wright,A Medal of Honor recipient from WWII turns himself in and confesses to the team the murder of his friend 60 years ago.,,9.0,23 Nov 2004,nm0942869
NCIS,tt1653497,RULE FIFTY-ONE,APP,TV,"APPROVED FILMING ON APRIL 23 AT NAVAL BASE VENTURA COUNTY, POINT, MUGU, CA.",2010,"Action, Crime, Drama, Mystery, Thriller",42 min,Dennis Smith,"Gibbs meets Paloma, the head of the Reynosa drug cartel in Mexico; he gets a ride to Washington, where he talks with Vance in code. Tony and Ziva arrest a bad guy, who then dies. Ziva attends a ceremony. Paloma meets Jackson. [Continued.]",,8.5,25 May 2010,nm0807932
NCIS,tt1570516,FLESH AND BLOOD,APP,TV,"APPROVED FILMING ON NOVEMBER 23 AT NAVAL BASE VENTURA COUNTY, POINT MUGU, CA. USING RAMP AND HANGAR AREAS. A T-45 JET TRAINER WILL BE FILMING LANDING AND WHILE STATIONARY.",2010,"Action, Crime, Drama, Mystery, Thriller",44 min,Arvin Brown,A Saudi Arabian limo driver dies in an explosion of a car aboard NAS Patuxent River; Gibbs and company investigate; the apparent target is a Saudi prince present there for advanced training. The gang figure it out. Tony's father visits.,,8.0,12 Jan 2010,nm0113054
NCIS,tt0658030,"IMMORTALS, THE",APP,TV,"APPROVED FILMING FOR ONE DAY AT PORT HUENEME, CA, INVOLVING THE WEAPONS TEST SHIP AND APPROXIMATELY 15 VOLUNTEER MILITARY EXTRAS.",2003,"Action, Crime, Drama, Mystery, Thriller",42 min,Alan J. Levi,"A swimmer finds the weighted body of a seaman who has disappeared from a destroyer of the US Navy. The NCIS team investigate; they find a petty officer connected with the victim and the death, and they save the skipper from an explosion.",,7.4,14 Oct 2003,nm0505420
NCIS,tt0657998,HIGH SEAS,APP,TV,"APPROVED FILMING FOR TWO DAYS AT NAVAL BASE PORT HUENEME, CA, INVOLVING NON-FLYING AIRCRAFT, FLIGHT LINE LOCATIONS, AND APPROXIMATELY 30 VOLUNTEER MILITARY PERSONNEL AS EXTRAS.",2003,"Action, Crime, Drama, Mystery, Thriller",43 min,Dennis Smith,"A chef finds a naked sailor inside a freezer at a restaurant in Rota, Spain, during a port visit by USS Enterprise; shortly afterward at sea another sailor freaks out on the flight deck; soon one of them dies. Gibbs and his team solve it.",,7.7,04 Nov 2003,nm0807932
"NET, THE",tt0113957,,LIM,FILM,"COMPANY REQUESTED ONE DAY FILMING AT MISSILE LAUNCH FACILITY AT VANDENBERG AFB. PICTURE ESSENTIALLY NON-MILITARY, BUT THE SCENE IS INNOCUOUS AND OFFERS A BRIEF REMINDER THAT THE AIR FORCE IS IN THE MISSILE LAUNCH BUSINESS. FILMING COMPLETED OK.",1995,"Action, Crime, Drama, Mystery, Thriller",114 min,Irwin Winkler,"Angela Bennett's a software engineer type who works from home and has few friends outside of cyberspace. Taking her first vacation in years, she becomes embroiled in a web of computer espionage.",2 wins.,6.0,28 Jul 1995,nm0005563
NEVER SAY NEVER AGAIN,tt0086006,,DEN,FILM,"DENIED REQUEST FOR STOCK FOOTAGE AND UNDERSEA SHOT OF NUCLEAR SUBMARINE {TO BE SHOT BY PRODUCTION COMPANY). SCRIPT DEPICT ED DRUG ADDICTED USAF OFFICER, OTHER NEGATIVE MILITARY/DOD PORTRAYALS {ALSO NEGATIVE UK PORTRAYALS}.",1983,"Action, Adventure, Thriller",134 min,Irvin Kershner,"SPECTRE agents under the command of Ernst Blofeld infiltrate a US air force base situated in the UK and steal two Tomahawk cruise missiles. When NATO is held to ransom, the British reactive their ""00"" agents and send James Bond to recapture the warheads and kill Blofeld.",Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,6.2,07 Oct 1983,nm0449984
